Order to run,Time needed,Skill name,Skill prompt/instructions
1,45 minutes maximum,supabase-canonicality-audit,"Run $supabase-canonicality-audit across Memory Lane as a read-only audit. Start with git status. Map canonical tables, write paths, reads/resolvers, downstream consumers, Supabase queries/RPCs, and schema dependencies. Detect missing migrations, runtime mock or file persistence, fabricated fallbacks, silent persistence failures, seed/runtime drift, and competing sources of truth. Report root causes, exact files and migrations, blockers, and whether each domain is truly Supabase-backed. Do not fix unless separately authorized."
2,35 minutes maximum,schema-migration-safety-auditor,"Run $schema-migration-safety-auditor against relevant Supabase migrations and schema-dependent runtime queries. Check destructive changes, backwards compatibility, locking, backfills, constraints, ordering, rollout safety, forward-fix strategy, and schema drift. Cite the migration or runtime file, severity, production impact, and smallest safe correction. Use the skill's required report format. Audit only."
3,45 minutes maximum,memory-lane-supabase-rls-security-auditor,"Run $memory-lane-supabase-rls-security-auditor. Map member, role, lead, public-token, and storage access boundaries. Audit RLS enablement and policies in migrations, server actions/routes, public signature and upload flows, service-role usage, token expiry and replay protection, member scoping, role guards, and storage access. Separate confirmed findings, likely risks, and items needing live verification. Return the skill's required report with exact files/tables and smallest safe fixes. Audit only."
4,35 minutes maximum,shared-resolver-enforcer,"Run $shared-resolver-enforcer as a compliance audit across attendance, census, transportation, billing, member command center, care plans, sales, and reporting. Identify each derived business question, its canonical resolver, every competing page/action/report implementation, consumers that should migrate, and duplicate logic that should be removed. Flag remaining canonicality gaps. Do not refactor unless separately authorized."
5,60 minutes maximum,memory-lane-shared-rpc-architecture-auditor,"Run $memory-lane-shared-rpc-architecture-auditor as a read-only repo-wide audit. Start with git status; map canonical entities, tables, write paths, services, resolvers, current RPCs, and migrations. Classify each major workflow as Must use shared RPC, Should use shared RPC soon, or Fine as service CRUD. Inspect lead conversion, enrollment completion, intake-to-POF, POF signing, MHP/MCC sync, care-plan finalization, member-file persistence, MAR generation, and event coupling. Flag direct writes and duplicated orchestration, assess existing RPC quality, and provide a prioritized migration plan and copy-paste fix prompts."
6,60 minutes maximum,memory-lane-acid-transaction-auditor,"Run $memory-lane-acid-transaction-auditor as a read-only production audit. Trace high-risk canonical write paths and matching migrations. Evaluate atomicity, consistency, isolation, and durability for lead conversion, enrollment, intake-to-POF, POF signing and downstream sync, care-plan finalization, member files, MAR generation, events, and public callbacks. Separate confirmed findings from likely risks; cite exact files, functions, and migrations; assign severity and launch-block status; and recommend the smallest canonical service, RPC, constraint, state-machine, or replay-safety fix."
7,50 minutes maximum,memory-lane-idempotency-duplicate-auditor,"Run $memory-lane-idempotency-duplicate-auditor as a read-only audit. Map UI/action/route/service/Supabase paths and persisted state transitions for lead creation/conversion, enrollment, public signing/upload links, POF, care plans, intake, MAR, member files, notifications, events, syncs, and billing side effects. Test retry, double-submit, callback replay, duplicate artifact, and repeated-side-effect scenarios. Verify code guards together with migration-backed unique constraints, RPC/locking protection, conflict handling, token expiry/use state, and schema alignment. Label each path Protected or At Risk with evidence, severity, and the smallest hardening fix."
8,50 minutes maximum,memory-lane-referential-integrity-cascade-auditor,"Run $memory-lane-referential-integrity-cascade-auditor from Lead to Enrollment Packet to Member to Intake to POF to MHP to MCC to Care Plans to MAR and clinical activity. Treat migrations and canonical services as truth. Detect orphaned records, missing downstream artifacts, duplicate canonical records, unsupported lifecycle states, missing foreign keys or unique constraints, schema drift, and duplicated UI/action rules. Require persisted evidence instead of UI state. Report parent/child keys, affected IDs when available, production risk, and root-cause service or migration fixes in the skill's required format."
9,45 minutes maximum,supabase-query-performance-auditor,"Run $supabase-query-performance-auditor across services, actions, routes, resolvers, lists/dashboards, MAR, MHP, member files, care plans, and audit logs. Enumerate and group Supabase queries. Detect unindexed filters/sorts, table scans, N+1 or looped reads, over-fetching, missing pagination, expensive joins, and duplicated query logic. Cross-check migrations and indexes, then return prioritized findings with exact evidence and the smallest safe performance fix. Audit only."
10,60 minutes maximum,production-readiness-audit,"Run $production-readiness-audit as the integration audit after the specialist audits. For every relevant domain, verify Supabase backing, one canonical source/write/resolver path, migration/runtime/seed alignment, downstream consumers, permission boundaries, audit trails, fallback failures, and duplicated rules. Run applicable validation and search checks. Report root cause, implicated files/migrations, blockers, technical debt, and an explicit production-ready and Supabase-backed verdict. Audit only unless remediation is separately authorized."
11,90 minutes maximum,workflow-simulation-auditor,"Run $workflow-simulation-auditor last as the end-to-end proof. Simulate Lead to Enrollment Packet to Member conversion to Intake to POF/e-sign to MHP/MCC to Care Plan to MAR to monthly reporting to Member Files and notifications. Run the skill's static script first and --run-live only when the environment is ready. Trace UI to action/route to canonical service/RPC to Supabase and downstream canonical reads for every handoff. Flag hidden, manual, split-brain, or fake-success paths and save the report only under D:/Memory Lane App/docs/audits using the required format."
12,15 minutes per consolidated finding batch,memory-lane-fix-prompt-generator,"Run $memory-lane-fix-prompt-generator on the completed audit findings or founder bug notes. Return exactly: Problem Summary, Root Cause Framing, Best Codex Fix Prompt, Regression Risks, Retest Checklist, and Optional Follow-up Prompt. The main prompt must direct Codex to inspect first, preserve the canonical Supabase service/resolver/RPC boundary, make the smallest production-safe fix, avoid duplicate rules and fallback success, preserve permissions and auditability, run typecheck/build, describe downstream effects, and report migration, policy, auth, schema, or environment blockers."
13A (preferred remediation),120 minutes maximum,memory-lane-safe-auto-fix-pass,"Run $memory-lane-safe-auto-fix-pass using only the newest prerequisite audit reports in D:/Memory Lane App/docs/audits. Build a low-risk queue and apply only behavior-preserving fixes such as non-breaking indexes, canonical resolver consolidation, routing direct CRUD through an existing canonical service, pagination, query normalization, and simple replay guards. Do not modify RLS, lifecycle transitions, signatures, billing, MAR, enrollment, or other clinical/financial workflows. Preserve permissions and Supabase canonicality, run required typecheck/build checks, and return the required applied/deferred report with audit source paths and downstream effects. Do not run 13B after this."
13B (alternative; skip if 13A ran),120 minutes maximum,memory-lane-safe-auto-fixer,"Use $memory-lane-safe-auto-fixer only as the alternative older/general remediation interface; never run it back-to-back with 13A. Review Canonicality, RPC, Resolver Drift, Query Performance, ACID, and Idempotency findings; classify safe versus high-risk; and apply only minimal behavior-equivalent fixes through canonical Supabase services/resolvers. Safe categories include indexes, resolver/query deduplication, existing-service routing, pagination, query efficiency, defensive duplicate checks, and simple idempotency guards. Defer migrations, RLS, signatures, lifecycle, enrollment, POF cascades, MAR, billing, and clinical/financial changes. Run typecheck and scope-appropriate build/quality gates and report changed files, downstream effects, risks, and deferred-work prompts."
14,45 minutes maximum,memory-lane-architecture-guardrail-enforcer,"Run $memory-lane-architecture-guardrail-enforcer as the final post-fix, pre-merge review. Trace each business write from UI/action/route through the canonical service or RPC to Supabase. Verify lifecycle transitions stay in domain services, public endpoints validate roles/tokens, protected tables are not written directly, storage and database metadata cannot split, and shared rules/resolvers are not duplicated. Flag direct UI/action writes, multi-table writes outside service/RPC boundaries, unsafe public writes, workflow bypasses, and file-persistence drift. Assign severity and provide the smallest corrected pattern in the skill's required format."
